SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,gm,Mem_Prob
3950101591298060032,182.53964346704672,18.514270828369657,-0.1906653766420557,-1.5396940437094715,-2.1394635363731727,0.1511015,0.1371639,0.98391324,0.0,-0.37693208,17,1.2821498,0.92837334,18.093447,0.07175521823232,0.0327677424740467,0.9729755305926008
3950101591298062592,182.55255685016004,18.519326503527022,-0.1583708481739925,-1.9167992913613423,-1.9433997801030425,0.15839384,0.14423458,1.0572127,0.59537727,1.4156017,17,1.1998495,0.9201317,18.097261,-0.0098243854833997,-0.2858624775338572,0.9557361356260096
3950101591298063104,182.5484538638524,18.51994419542013,0.2011027098244311,-1.792726100494447,-1.6726728320908442,0.29858446,0.27346858,1.0019531,0.0,0.07444079,17,1.2099526,0.9698715,19.023077,-0.0041382859738328,-0.2913913486101553,0.9315086210747936
3950101728737013760,182.5868400985724,18.515062428089035,-0.3334847981679169,-1.5690591163350205,-2.230822986157713,0.27836025,0.24912758,0.9838234,0.0,-0.34294435,17,1.1730007,0.9030018,18.904358,-0.0351896252335657,-0.0212716879281962,0.9514894334660592
3950101934895447808,182.5767413807872,18.52097308682616,-0.1816799369675035,-1.7541836389864598,-2.067272155865909,0.39425272,0.2961973,0.9532743,0.0,-1.016796,16,1.2004228,0.9013443,19.130804,-0.0076250100306356,-0.0461953717296458,0.949301317716516
3950101969258848640,182.5607252177101,18.53317429283497,0.3641375160401122,-2.216228215370598,-2.048523098949251,0.5365619,0.39588076,1.0149113,0.0,0.35010555,16,1.2704482,0.7640362,19.548342,0.0735546939421178,-0.3670876813703295,0.9070930455071288
3950102106694154624,182.58362265196885,18.54977700987052,0.145270190790329,-1.6171659798568605,-2.228103236171226,0.19351517,0.17006621,1.0118297,0.0,0.31069052,17,1.1808503,0.9337635,18.389593,-0.0300180455503908,-0.0109106369063019,0.9672150101009888
3950102209773345792,182.51663387157248,18.49686469883549,-0.2625290626307072,-1.880665115694349,-2.1916417902691165,0.20522912,0.19110566,0.9828375,2.3323137e-15,-0.3921385,17,1.1988617,0.9808407,18.578728,-0.0162248353595,0.0021700146963259,0.963203341075812
3950102209773347840,182.5151421707141,18.50657178263588,0.0136785811371426,-1.737525210656408,-2.0272791073638707,0.13840403,0.11809496,0.9772779,0.0,-0.51158893,17,1.206054,0.9950886,17.82205,-0.0103372594393491,-0.0482980518794109,0.9886462495642316
3950102244133086464,182.4960349261668,18.50730366655284,0.2612149947316817,-1.7194957705107945,-1.8281083843436607,0.574873,0.3902831,1.0452111,0.034680422,1.0429875,17,1.267232,0.7899437,19.70484,0.068334377813239,-0.0762203033670688,0.9273675583073936
3950102282788648064,182.5059329985864,18.52245003667712,0.0603457335507839,-1.6841664358663253,-2.116585146010257,0.103466496,0.094806425,0.9964784,0.0,-0.05580919,16,1.208454,1.0161285,17.418613,-0.0098874573825575,-0.0029634047871561,0.9925274263978108
3950102312852605696,182.5263831388598,18.523690657721065,0.1829681660506128,-1.9395980082486333,-2.09572430109175,0.3808893,0.29101434,0.9952178,0.0,-0.08069783,16,1.1511251,0.90563583,19.159811,-0.0572920811453037,-0.1191849236858431,0.9442805566802946
3950102317147499392,182.53030766597803,18.51132969108756,0.1535245936175164,-1.4630041851040871,-2.276183323386079,0.6996666,0.56787074,0.99630713,1.2945734e-15,-0.050759155,16,1.1017861,0.58724976,20.062096,-0.0827457060866927,-0.0889246741752454,0.9010681957615174
3950102317147527040,182.52784212662183,18.5220193280124,-0.4027046371938394,-1.8973482435324984,-2.219426374218984,0.68876916,0.582889,0.95231295,0.0,-1.0183014,17,1.0791289,0.6450825,20.102547,-0.1091887259590953,0.0320230307714797,0.9059805806156574
3950102317148387456,182.5313942531141,18.51817822155399,0.0382397973487276,-1.6801579543084244,-2.097324008552127,0.02806158,0.024201676,1.0328407,0.25593203,0.8156318,17,1.2467223,1.3034554,14.753203,-0.0008891292071246,-0.0019671673064024,0.9988992860170004
3950102347212305920,182.53720735514773,18.51724279889655,0.1378563700075987,-1.8054964616651443,-1.7024602317826911,0.79411227,0.5567085,1.0140362,0.0,0.3354998,17,1.5133713,0.657114,19.999084,0.3242340083561978,-0.3045670480958952,0.904338509896363
3950102347212311552,182.5438515626043,18.525464520067167,0.1111199157297744,-1.609827596175638,-1.8049378118437485,0.24393362,0.22334737,0.96009207,0.0,-0.92958415,17,1.2267166,0.92407036,18.748995,0.0166988540109387,0.122118598126969,0.9528759409095136
3950102347212337792,182.5348964525595,18.529906529223435,0.070712731717109,-1.8867510444244653,-2.1059747445422703,0.08840899,0.08027093,0.9456199,2.3602946e-15,-1.2941309,17,1.1387651,0.07034111,17.134714,-0.0181301624235894,-0.0848902112668218,0.9650476060288374
3950102351506933632,182.5328978772181,18.528706963945645,-0.2636784254877269,-1.5490687237586034,-1.8344614115250308,0.26478046,0.24347742,1.006621,2.3441832e-15,0.18786702,17,1.3322138,0.8967285,18.881355,0.1245618993630683,0.2166892659900217,0.9495276962944602
3950102351508126592,182.5357510544101,18.52151613702637,0.0096923575823295,-1.792671096064024,-2.0359568411292845,0.108448215,0.093502,1.021071,0.20442712,0.543173,17,1.1391367,0.006937027,17.417114,-0.0154591305207283,-0.0865062786666809,0.9903856003317272
3950102351508223104,182.54165987778885,18.530180094278148,-0.0121826200811025,-1.751756336472074,-1.932297516322044,0.0747329,0.06691893,1.0186279,0.44059324,0.47201705,17,1.15488,0.21138954,16.74521,-0.0080613626426864,-0.0942232486564945,0.963384803428732
3950102381572080640,182.5226403112476,18.52698993910015,0.3459640954885488,-1.608443861631207,-1.962202404920956,0.21059673,0.18400446,1.0115688,0.0,0.3018514,16,1.3407005,0.9165745,18.497635,0.1313362914927989,0.0736871243978278,0.9724184489752404
3950102381575708032,182.516906892202,18.53076296207168,0.0423573699278951,-1.4462114971181748,-2.133874488024934,0.13020338,0.14673172,1.0046527,0.0,0.14008346,16,1.2389235,0.9825554,17.894466,0.023680629018483,0.0614681255721703,0.9108452371777748
3950102385866656000,182.5132731502592,18.52430177869147,-0.0853834263775723,-1.700750644320364,-1.8371494855788493,0.14535873,0.12986617,0.9725023,0.0,-0.64238495,17,1.2025994,0.9660263,17.993767,-0.0111442948797553,-0.0424865382658556,0.9535828719211744
3950102385866657536,182.51091458378508,18.52750930599908,-0.4140800224836224,-1.3363703740666415,-2.0183963225541985,0.5984949,0.42229185,0.9907141,1.2813496e-15,-0.17623626,15,1.2588403,0.8435154,19.670937,0.0556488471737075,0.2797506071696838,0.911658764875098
3950102385866657664,182.52219875278087,18.523058136029142,0.6161853438191772,-1.7141247612646218,-2.1774361067468964,0.6525242,0.5366368,0.9199735,0.0,-1.7843908,15,1.1097345,0.70965576,19.813782,-0.0831092684212673,-0.0022222515726291,0.9115009053147152
3950102385867863424,182.5124669669445,18.52050571376224,0.0034470110567968,-1.583891165247277,-2.2384519322848435,0.108211905,0.09345786,1.0838854,1.1242276,1.9864968,16,1.2149628,1.0089607,17.362171,-0.0027111386662685,-0.0216904327461176,0.9453312589435364
3950102385867864064,182.5218679671993,18.52213355934104,-0.1299162770590822,-1.8337058733598184,-2.1639363966112684,0.12961237,0.11834712,1.0421883,1.4075104,1.0534811,17,1.2159737,0.9699631,17.740992,0.0018745316705508,-0.019421206906167,0.9799046878164912
3950102385867864320,182.5168728133114,18.52545242049701,-0.1446569948551523,-1.4655197717267507,-2.02493005999497,0.24004011,0.24747258,0.9508295,0.0,-1.1322184,16,1.1984483,0.99181557,18.683537,-0.0176420954385447,0.1666663849532276,0.9501977311894172
3950102385867864704,182.5214417711041,18.52670680452505,0.0181928679910008,-1.4471389575010591,-2.01458584417819,0.29016066,0.25255904,0.984581,0.0,-0.3411527,17,1.218179,0.9274483,18.99014,0.0078655319470142,0.1926357736959541,0.9470127539381736
3950102385867864832,182.5154981144876,18.53001544128312,-0.1228257194107287,-1.7077825569294192,-2.0839377123761613,0.07576515,0.08330197,1.0279849,0.0,0.70075583,16,1.1795272,0.4759922,16.924314,0.0017790375437276,-0.0162996765678569,0.9956848169163384
3950102385867865216,182.5178211173705,18.53045503335106,0.0460848036817309,-1.748634535541159,-2.208546844721322,0.11771758,0.13396788,1.0446489,0.5783178,1.0951225,16,1.2836515,0.9801483,17.678204,0.0686280400919927,0.0067119577392647,0.982555822282845
3950102385868273536,182.51725707250827,18.518355852373023,0.7042722202034446,-1.3002756455228848,-2.0689486979447818,0.7281862,0.50922924,0.97982347,0.0,-0.42576295,16,1.3184525,0.6277771,19.812029,0.1312945870804449,0.2180329173646124,0.902570304568275
3950102415931813248,182.52295800982665,18.53096646683456,-0.0672649678897177,-1.6473829451479596,-2.0296800900764698,0.06906744,0.0649993,0.9860422,0.0,-0.32098034,17,1.275213,0.50751305,16.860928,0.0954727870504783,0.0218242625192177,0.9940223949772348
