SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag
3949893268204440960,182.94300330878787,18.265111772677916,1.286281911470369,-1.3231119268143514,-2.475862422756261,0.09327413,0.05255371,1.0086844,0.34479913,0.22339487,15,1.273741,1.5641308,17.0116
3949893409938678784,182.9648450608243,18.2868597535472,0.5033579823199636,-2.1530952375597447,-1.4481513251415896,0.057915755,0.035904374,1.0089151,0.0009862358,0.23554958,16,1.2080326,0.8834076,16.350353
3949893616096544512,182.91018743960592,18.28058913445132,1.3389423843497932,-11.897948506509897,-5.0457357077104925,1.7555493,0.84012425,0.96129054,0.0,-0.64347374,14,1.592886,1.2841454,20.724741
3949893616097108736,182.9111885505288,18.282652387261923,6.031609225140626,-122.88395192890384,89.5447686010973,0.019140655,0.013276256,1.0793959,0.0,1.8199685,15,1.2803419,1.6090202,13.612199
3949893646161564288,182.92295368470695,18.29209927571685,0.3153661911098471,-9.08093576436809,-5.268504373171426,0.46624023,0.26394236,1.0751857,0.37115648,1.6476734,15,1.4049624,2.0356102,19.569883
3949893646161575040,182.92925656570605,18.29555291486971,0.7862127525994624,-10.894571994375452,-3.5671147202778504,0.68958235,0.44178936,1.0260758,0.0,0.5586514,13,1.3782663,1.8723373,20.081787
3949893749240790272,182.93417451290065,18.30881890744355,0.2021795149192792,-9.231166574267274,-17.363453823155584,0.68438536,0.36286864,1.0794916,1.9759965,1.7391216,14,1.4166371,2.0374336,19.953894
3949894024118688000,182.99297326043973,18.32905343288829,0.22384170552283172,-3.4951324223117974,-2.553291327058772,0.545784,0.25111327,1.0277762,0.63519615,0.65392774,16,1.1628397,0.5932541,19.67381
3949894058478426752,183.0077782125497,18.339246492598257,0.5248718409739656,0.03009088148261188,-1.5478568307108709,0.53690416,0.3227851,1.0348511,0.2699411,0.8310408,16,1.1461498,0.7250557,19.936024
3949894092838164352,182.9663249424295,18.32313345753513,0.5048265054662426,-4.985173748273093,-4.476741572073738,0.8561214,0.5330535,0.9413124,0.0,-1.191167,17,1.3090158,0.7550163,20.547722
3949900174511857024,183.0237517343947,18.36734106983606,0.5147205973520417,-13.656145638522847,-13.399726324598138,0.15638186,0.093033336,0.94867754,0.0,-1.1675156,15,1.2189076,1.2364578,18.123466
3949900174511857152,183.02594179180352,18.370019937356943,-0.07549542065463924,-0.3887813302176524,-0.8638522654338923,0.4656896,0.23552585,1.0488255,0.21745685,1.1420004,16,1.1254381,0.22073364,19.610786
3949900247526614784,183.0153087118618,18.374876567558925,3.0303485969657364,3.5266923697023826,-12.714932865079312,0.07265053,0.046045344,1.0521164,0.22905514,1.278432,16,1.3423783,2.0583878,16.803947
3949900346310557184,183.02247202286253,18.38009245952285,-0.22892751058674424,-9.460310262448761,-15.280195547602393,0.7773655,0.41662335,0.99899,0.40159097,0.01035298,14,1.5182439,2.2269611,20.284224
3950003872202333440,182.54984442382857,18.390967126566277,2.2827298304483077,0.15694919411918418,-2.6889300909635496,1.2426732,0.9302447,1.0846195,1.6258099,1.8136274,14,1.2845901,0.8292656,20.460026
3949975697218215808,182.4620529628971,18.048674705847105,1.1690837273643766,-11.68683708821487,-21.762773021477237,1.6276795,0.8355523,1.0245762,0.22653899,0.5089997,14,1.562855,1.7993488,20.496555
3949976521850395264,182.6175314926644,18.056757555799784,-0.318894702740603,-10.791513817537815,-2.217109967304359,0.7112266,0.5710725,1.0173537,0.2413689,0.41243303,15,1.287776,1.4853287,19.952408
3949977071606113024,182.52745133479812,18.06816325393181,1.7620706308504175,-11.95674341944764,-1.001601839518883,0.24659875,0.18846858,1.033255,0.037598316,0.8040653,15,1.3816681,2.2044926,18.564152
3949977110261549440,182.48621213562146,18.04069367696379,1.324785883174715,0.7211358734812068,-12.567393926908911,0.23102765,0.18869592,0.98827887,0.0,-0.23454121,15,1.4364587,2.4079247,18.42441
3949977247700298752,182.50767767269042,18.06502722825619,1.924050734300933,22.368641464398788,-37.990688646240365,0.054263726,0.042789444,1.0619519,0.94584215,1.3876967,15,1.2797965,1.584135,15.671432
3949977483922974336,182.55286530162178,18.084922498760683,-0.41859333934648624,-14.696061019570132,0.9148460528125938,1.3067617,0.8610676,1.0100707,1.1913745,0.22804809,13,1.4303962,2.2087822,20.34357
3949977483924694528,182.5429228935734,18.080803281930905,1.5632699401017045,-12.757929392939266,0.6584596285439063,1.2034539,1.0409055,0.9858025,0.0,-0.23741429,13,1.5403402,1.3308086,20.59625
3949977552642451968,182.58727279022875,18.094515105315377,0.14631521958516808,-5.382177282286235,-6.308924331627535,0.29757562,0.22819474,1.0013621,0.14119737,0.06043556,15,1.2232875,0.9851208,18.870378
3949977690081519744,182.534573875576,18.089123500832226,2.2991998261317943,11.20852898454461,-4.851576223047845,0.86981696,0.5503494,0.9812268,0.13522181,-0.34840336,14,1.4311715,2.5325356,20.043852
3949977724441143552,182.51062183285305,18.093080445191223,6.216769346345537,-42.5843344657859,-5.944345174204955,0.1910526,0.15671913,1.021437,0.09775813,0.48362797,15,1.1409556,-0.007047653,18.097778
3949977793160621824,182.5495206332702,18.100166746322312,1.0047828599136084,-13.30954763166155,-7.503621207418921,0.68217236,0.43477306,1.0516251,0.6148896,1.1632744,15,1.2818044,2.4342613,19.709036
3949977797456117632,182.5463998701189,18.10164840295901,1.0960733211461016,-12.61833740691938,6.199245670514944,0.08327621,0.05185229,1.0498912,1.2549168,1.1869001,15,1.2541823,1.3454895,16.18604
3949977861880100224,182.5322084593924,18.10855521302985,0.45580760717592395,-4.659022893171875,-4.6795823543456,0.38746735,0.31599468,1.040739,0.0,0.9294263,14,1.2158058,1.0306778,19.101585
3949977896239839744,182.5437061657651,18.122789082181498,0.4467510965607323,-17.78600600669483,-9.616227418068867,0.29032964,0.21701667,1.012288,0.0028470187,0.31507456,16,1.3207899,1.8694687,18.82285
3949978823952768640,182.3908605728897,18.054113074356938,0.1596744962067499,-9.56179668012452,-5.572638982961053,0.20664236,0.15597081,1.0248153,0.0,0.5600498,15,1.2795599,1.2462025,18.369757
3949978965687429248,182.40485409609394,18.072292301780664,0.9976059210277305,-0.7668485947818879,-12.5805310342564,2.0283618,1.0205499,1.0557837,0.77055025,0.98359716,11,1.3959483,2.43087,20.59069
3949979614226752384,182.38657690203047,18.076600082799327,4.558946969705575,-11.637764166487406,17.556105070011284,0.1602098,0.12862965,0.9836392,0.98288906,-0.32981437,17,1.4515239,2.7471561,18.022816
3949979682946106496,182.36758463769115,18.085080740219983,1.6597321732294923,-19.500472494874423,0.2564869946450496,0.6770765,0.47873154,1.081568,0.56772125,1.6274409,15,1.4063221,2.3314304,20.014345
