SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance,gm,Mem_Prob,G0,(Gbp-Grp)0
3950102626386035200,182.5149491002632,18.53519047994025,-0.0045554065718939,-1.834225901979613,-2.0676535893591383,0.07867671,0.08987373,1.00743,0.0,0.20639804,16,1.1647532,0.26284218,16.991335,-0.0007133952989584,0.0121404344635307,-0.0930330480261881,0.9839508221357732,16.824865,0.18435017999999997
3950102626386132480,182.50971500912465,18.54759187433797,0.0756925437669981,-1.671199288639866,-2.0837864006008977,0.0946495,0.09459445,1.0069473,0.70553803,0.19043306,16,1.1405674,0.13057518,17.038952,-0.0187527038792891,0.0162757489742077,0.0023056142503461,0.9934302922260212,16.872481999999998,0.05208318000000001
3950102759529182592,182.56328335545365,18.54801657403371,-0.1102191699687736,-1.942362753359048,-2.0049258581192526,0.21175668,0.20533296,0.9787793,0.0,-0.49626413,17,1.1094829,0.12805748,18.646994,-0.0497311586413833,0.038753251062241,-0.237112573678044,0.956850820624266,18.480524,0.049565479999999995
3950102798184795520,182.5315398217073,18.543491432604363,-0.0287334217301959,-1.7540608312542885,-2.0401483991928244,0.0796577,0.07871594,0.96031046,0.0,-0.9548691,17,1.3412645,0.18433571,17.089437,0.1795823531103286,0.0067077298079547,-0.0563629288149985,0.9945691613891018,16.922967,0.10584371000000001
3950102798184831616,182.53424000036912,18.549825317704755,0.0436217718760734,-1.6502630822198692,-2.047426065559522,0.08010093,0.079633355,1.0227225,0.28675035,0.5556521,17,1.2261453,0.25678062,17.014566,0.0609850793720714,0.012108393948069,0.0174288098426666,0.993946485268646,16.848095999999998,0.17828862
3950102935623789824,182.55283917068644,18.5608986545082,0.0559473887480613,-1.6470180191835628,-2.0033840052157386,0.1269437,0.11479122,0.9859783,0.0,-0.30762702,17,1.1228247,-0.054216385,17.745798,-0.0297991797890024,0.0336478612504371,0.0257436073764739,0.9875634834289592,17.579328,-0.132708385
3950102935623789952,182.5643471701964,18.56390968606258,-0.089061673680955,-1.586689655590206,-2.258497631402893,0.10502571,0.104384914,0.9769527,0.0,-0.5234403,17,1.1356655,-0.01672554,17.501724,-0.018138674350147,0.0450359206170562,-0.0296312681029098,0.9397869067867533,17.335254,-0.09521754
3950102965687637888,182.5714714170772,18.56769116782053,0.0510612757083907,-1.54607392070519,-1.9591566279922203,0.40416723,0.28742838,1.0047197,0.0,0.13481374,16,1.1223619,0.13059998,19.12856,-0.036959250487665,0.0531001761686751,0.1438964900901449,0.945267241198216,18.96209,0.05210798
3950102969983528704,182.56682523358512,18.577085438399127,-0.0360155081030627,-1.796178896886009,-2.142990013926905,0.08385334,0.07920942,1.0028929,0.0,0.095453605,15,1.1713009,0.30441093,16.994518,0.0036693531283671,0.0545924734016353,-0.0269673700524619,0.989389931558936,16.828048,0.22591893000000002
3950103000047367552,182.5239860435984,18.556685537613507,-0.1575737782577858,-1.74168746461869,-2.1011326220597826,0.09200019,0.08924414,1.0805084,0.90069604,1.9185548,17,1.1607807,0.07640076,17.230764,0.003652090227078,0.014720500079211,-0.0280736504058357,0.9938949029584216,17.064294,-0.002091240000000008
3950103004343165312,182.52923367010783,18.54804994922896,-0.1568124104814539,-1.630197736726834,-2.034354047710447,0.079669334,0.07471114,1.0922719,1.2733461,2.3190513,17,1.385903,0.31954384,16.990515,0.2174556169441037,0.0073841619873116,0.0340308455277552,0.9922796295460576,16.824044999999998,0.24105184000000002
3950103004343262080,182.53153287551103,18.550334522186105,0.0781083146099817,-1.675228741243514,-1.9726126837625824,0.10703454,0.10750723,1.0518531,0.6657149,1.2342145,17,1.2742001,0.038734436,17.471577,0.118483533619617,0.0105897461023971,0.0005207778293441,0.9882936546531448,17.305107,-0.03975756400000001
3950104443156396800,182.59146814634417,18.58379941838268,0.1704119073221437,-1.677716984072575,-2.181969676900105,0.07862008,0.063677065,1.0238794,0.48376134,0.61076164,16,1.1850098,0.33800697,16.98326,0.0155470229394054,0.078518824848308,-7.168677660674283e-05,0.98604703672346,16.81679,0.25951497
3950150420782215168,182.5123030570085,18.61104088967992,-0.1362387501579401,-1.612712189697327,-2.0930136232551586,0.08042792,0.07510668,1.0270443,0.0,0.6576505,17,1.1482232,0.27771187,16.989119,-0.0180050128368034,0.0701986952095573,0.0292857219065773,0.9912857064901438,16.822649,0.19921987000000002
