SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,distance
3950102626384845952,182.5115281840033,18.53985374761912,0.1852357062815736,-1.9247667729600229,-1.939149299315429,0.5213806,0.4643098,1.0357426,0.11002589,0.7947697,15,1.3486146,0.7595005,19.528362,0.1520670371206294,0.013641709039971962
3950102626384847872,182.51861813526784,18.53747474798641,-0.0765618859605289,-1.7868993542721232,-2.0235733968349785,0.1959141,0.21284072,0.96604663,0.0,-0.78587914,15,,,18.459724,,0.00782343295786122
3950102626384851072,182.5148846502036,18.54027816733552,-0.4786842728752722,-1.5210096547834788,-1.7220732844079751,0.4951325,0.44655672,1.0264446,0.0,0.62078816,14,1.8410724,0.8070755,19.511013,0.6408234370526662,0.010260848367843602
3950102626384992128,182.5173680721149,18.539500076254782,-0.2851830201130647,-2.0413161870483965,-1.5315599134391316,0.62482893,0.5753816,1.0615369,0.8109446,1.2034475,13,,,19.70814,,0.00803093655656043
3950102626384994688,182.5191341074492,18.53991879698736,-1.423917392612943,-1.7573932529787206,-1.812957324906048,1.5296288,0.86929125,1.0081117,0.29564425,0.18083102,11,,,20.350677,,0.006224154673329911
3950102626384994944,182.51529372952368,18.541568045480737,-0.2161444618779948,-1.0529751943881025,-2.5439212573417684,0.5716589,0.5244223,1.0299853,0.0,0.6815322,15,1.313548,0.7306423,19.708824,0.1191667906603424,0.00971587727723887
3950102626384999808,182.5176178427764,18.54201311595731,1.3921631110375712,-1.9474164742971167,-2.646834124727714,0.46397176,0.3589553,1.0045725,1.2299276e-15,0.13443272,16,1.3138889,0.92292976,19.462317,0.1039708381530564,0.007382168875238291
3950102626385000576,182.51259461671668,18.544461592138045,-0.5078907053987717,-1.73412487571875,-2.6010951932998503,0.8037579,0.6425975,1.049081,0.30398986,1.0884597,15,1.7090659,0.5867138,19.978477,0.5245679723675263,0.012647251490352342
3950102626385006080,182.51866021427733,18.542779181695835,-0.3947806570211404,-1.359877237220444,-1.7103109498384972,0.7928163,0.5954356,1.0650309,0.05632127,1.326501,13,1.9886485,0.59025764,19.844349,0.8039261489739642,0.006387488326762943
3950102626385007360,182.51773685070185,18.54410647790872,-0.5426810527523318,-1.4592644664479806,-2.0549228108996576,0.20572849,0.1898828,1.1097062,1.4131691,2.6588514,17,1.4383526,0.9456768,18.473383,0.2264303938298264,0.0075624458283810305
3950102626385007616,182.5170429747981,18.544042840357825,-0.0616382716450594,-1.7471855777087153,-1.9915089228101224,0.07848475,0.073121354,1.0269623,0.48566458,0.6709279,17,1.2819743,0.33626175,16.970415,0.1126084443804116,0.00821507436310145
3950102626385010944,182.5158969673024,18.54544472810235,-0.1003117566131618,-1.8066262845252727,-2.16073708694996,0.10166753,0.09877734,0.9954572,0.0,-0.08597479,17,1.1390061,-0.03208542,17.522314,-0.0143035395337574,0.009733003441517835
3950102626385013888,182.51678159644,18.54611377380212,0.4604531495020372,-1.3074547589400811,-2.3528581562434177,0.4888748,0.38979468,0.97421235,0.0,-0.5778196,16,1.194384,0.87246513,19.573639,-0.0112102792405852,0.009190500093569854
3950102626385014656,182.51544489415005,18.54680097945585,-0.1006768467803775,-2.014451248027653,-1.971123159748868,0.35645375,0.28562993,1.0259765,0.09395594,0.6254913,16,1.3289121,0.8930721,19.121328,0.1215728072239663,0.010693430298053001
3950102626385026304,182.5207468955478,18.54711890699924,0.0396489956783418,-2.0700175163770163,-2.3676551928712555,0.6296965,0.42399788,0.9881051,2.4832162e-15,-0.2437055,16,1.6385123,0.7913456,19.644234,0.439504873745584,0.006655231502225831
3950102626385026816,182.51768088948373,18.548496038306183,0.0241049525935865,-1.7493669680253303,-2.4209337512054523,0.6870139,0.44024557,1.0879188,0.45526567,1.8377427,15,2.7821472,0.6377487,19.619314,1.594323825690158,0.009786107112885422
3950102626385027200,182.51930307335195,18.54797124506985,1.1106069579705329,-1.473728867642864,-2.418196608678333,0.5162906,0.41355756,0.9782011,0.0,-0.48270538,16,1.5328332,0.7414818,19.632576,0.3376453389550029,0.0082529231740951
3950102626385032960,182.5204245226466,18.54895371792123,-0.5203498961455881,-1.792333353768112,-1.860171778462659,0.41930655,0.33801466,1.0542672,0.12523407,1.2672468,16,1.3386728,0.90387154,19.322409,0.1304076194936727,0.00832401261048208
3950102626385044096,182.51798796926653,18.5519775907294,-0.3267340732289413,-1.3852218370310885,-1.4092699640214734,0.6305425,0.4450184,1.0099516,0.1027344,0.25158617,15,1.9215931,0.70274925,19.66535,0.7292482300909777,0.01219511753820437
3950102626385149952,182.51755446964023,18.545119897983845,0.2175914051891136,-1.7727173646212615,-1.69445591135145,0.6778661,0.5149133,1.0193722,0.0,0.46240693,16,2.0229344,0.3940735,19.892712,0.8502533277923456,0.008072774353833672
3950102626385150336,182.5123969557411,18.54792403041576,-0.1774023654292161,-1.106897301311004,-1.6452732459861903,0.7872678,0.5908982,0.9441501,0.0,-1.2205825,16,1.5329838,0.48272324,19.990944,0.354800028474542,0.013925906109065914
3950102626385175296,182.51865197975468,18.54010316611844,-1.554092452734678,-1.720250318797917,-2.870045037131536,1.2699572,0.90675604,1.0536649,0.0,1.0552293,13,2.259939,0.8512459,20.34676,1.0561115198053703,0.0066253558251100145
3950102626385238016,182.5198379095323,18.543101413131243,-1.183260503069804,-1.336888283701032,-2.26531068328744,0.69873065,0.5571983,0.94275445,0.0,-1.1948258,16,2.6677365,0.4619522,19.90792,1.4908875438245668,0.005278284653413259
3950102626385398144,182.51419113932064,18.53866295702764,-0.4717221555236045,-1.0636509209950404,-1.794286894702016,0.99308884,0.9888149,1.0365511,0.0,0.7495022,15,2.6182055,0.9230881,20.365393,1.4082736049615,0.011312264361534177
