# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:55:52 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00024632 -1.80000 10.00000 0.7138957977 2.3843858511    0.714 -0.166  3.7844  4.547    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -5.38e-14      0.00 8.311e-01 1.687e-01 3.430e-05 9.321e-06 8.484e-05 -1.000 2.157e-04 5.186 5.215 5.492 4.762
0.00024632 -1.80000 10.00000 0.7259873152 2.3897755637    0.726 -0.109  3.7898  4.520    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.28e-14      0.00 8.377e-01 1.622e-01 3.313e-05 9.036e-06 8.231e-05 -1.000 1.455e-04 5.044 5.076 5.343 4.635
0.00024632 -1.80000 10.00000 0.7367483377 2.3944015095    0.736 -0.057  3.7945  4.492    1  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -7.25e-14      0.00 8.432e-01 1.566e-01 3.215e-05 8.798e-06 8.021e-05 -1.000 1.654e-04 4.913 4.948 5.207 4.517
0.00024632 -1.80000 10.00000 0.7468937635 2.3986227261    0.746 -0.006  3.7988  4.464    1  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -8.38e-14      0.00 8.481e-01 1.517e-01 3.131e-05 8.594e-06 7.843e-05 -1.000 1.501e-04 4.784 4.820 5.072 4.400
0.00024632 -1.80000 10.00000 0.7500000000 2.3998889087    0.750  0.011  3.8001  4.455    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -8.77e-14      0.00 8.495e-01 1.503e-01 3.107e-05 8.537e-06 7.793e-05 -1.000 1.455e-04 4.743 4.780 5.029 4.362
0.00024632 -1.80000 10.00000 0.7584224939 2.4032621984    0.758  0.056  3.8037  4.429    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -9.96e-14      0.00 8.509e-01 1.490e-01 3.099e-05 8.518e-06 7.778e-05 -1.000 1.580e-04 4.631 4.669 4.912 4.259
0.00024632 -1.80000 10.00000 0.7681094408 2.4070369137    0.767  0.110  3.8078  4.396    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-13      0.00 8.522e-01 1.476e-01 3.092e-05 8.504e-06 7.769e-05 -1.000 1.457e-04 4.494 4.533 4.769 4.133
0.00024632 -1.80000 10.00000 0.7766900659 2.4102902481    0.776  0.162  3.8115  4.364    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-13      0.00 8.533e-01 1.466e-01 3.087e-05 8.497e-06 7.767e-05 -1.000 1.860e-04 4.365 4.404 4.634 4.012
0.00024632 -1.80000 10.00000 0.7848781943 2.4133186132    0.784  0.215  3.8149  4.329    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-13      0.00 8.541e-01 1.457e-01 3.085e-05 8.495e-06 7.769e-05 -1.000 1.723e-04 4.233 4.271 4.496 3.887
0.00024632 -1.80000 10.00000 0.7924250960 2.4160461775    0.792  0.267  3.8179  4.293    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-13      0.00 8.549e-01 1.450e-01 3.085e-05 8.498e-06 7.773e-05 -1.000 1.569e-04 4.102 4.140 4.359 3.762
